learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.05672329,2.0862237997146118E-9,1000.0,1.0,1.0,0.997,0.0,0.0,1.7976931348623157E308,?,0.997,-Infinity,1000.0,142168.0,5.0,609.4,226.83650499864436,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.100512812,3.6967570211572777E-9,2000.0,1.0,1.0,0.9985,0.0,0.0,1.7976931348623157E308,?,0.9985,-Infinity,2000.0,142168.0,5.0,1212.2,457.1495378976118,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.136006425,5.0021753101609646E-9,3000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,3000.0,142168.0,5.0,1794.0,665.6181337674027,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.15772116,5.800820751239856E-9,4000.0,1.0,1.0,0.99925,0.0,0.0,1.7976931348623157E308,?,0.99925,-Infinity,4000.0,142168.0,5.0,2387.2,893.73720969869,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.179518312,6.602497404134936E-9,5000.0,1.0,1.0,0.9994,0.0,0.0,1.7976931348623157E308,?,0.9994,-Infinity,5000.0,142168.0,5.0,2982.0,1133.504962494651,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.2004892,7.373784923719036E-9,6000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,6000.0,142168.0,5.0,3582.4,1351.1738600195017,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.221705173,8.154086415517247E-9,7000.0,1.0,1.0,0.9995714285714286,0.0,0.0,1.7976931348623157E308,?,0.9995714285714286,-Infinity,7000.0,142168.0,5.0,4178.6,1605.9854607062919,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.24244176,8.916756587227186E-9,8000.0,1.0,1.0,0.999625,0.0,0.0,1.7976931348623157E308,?,0.999625,-Infinity,8000.0,142168.0,5.0,4780.8,1846.8232725412577,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.266668455,9.807789312892905E-9,9000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,9000.0,142168.0,5.0,5379.0,2069.1802724750687,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.287679838,1.0580566196594803E-8,10000.0,1.0,1.0,0.9997,0.0,0.0,1.7976931348623157E308,?,0.9997,-Infinity,10000.0,142168.0,5.0,5980.4,2289.7925233522797,19176.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
